"reg: equal, man: equal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final vs target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slope,intercept,r-value,p_value,std_err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.070573984,55.26570353,-0.067507369,0.678956051,0.169203677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,38.14842259,0,0,0,0,0,0,41.20648855,31.74359834,28.80351025,0,40.89633126,48.04755836,30.05810478,0,42.94801097,0,25.85102998,0,0,0,0,0,69.51143218,42.19220509,0,50.13904904,53.50291661,0,0,0,51.91255076,0,0,55.94719615,59.65429756,49.32271788,0
81,38,67,60,41,61,88,96,65,9,16,31,85,68,47,50,64,99,42,50,34,35,91,63,62,69,78,17,15,72,73,60,49,20,1,30,48,48,76,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"reg: 996.0, man: 500.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final vs target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slope,intercept,r-value,p_value,std_err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.005622742,59.50724023,-0.0044186,0.985249403,0.299932129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.26863405,0,0,45.51578985,46.31233312,0,0,0,38.21648617,51.45585746,0,0,43.45478145,43.71326647,36.00353104,36.51104605,0,0,0,0,,,,,,,,,,,,,,,,,,,,
99,24,50,73,10,36,33,34,82,54,89,47,59,15,58,99,77,95,76,78,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"reg: 996.0, man: 2000.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final vs target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
slope,intercept,r-value,p_value,std_err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.159443375,36.20581736,0.121399602,0.610156525,0.307276155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,37.07876744,0,0,61.69419015,0,0,0,37.1197292,0,43.72015615,0,0,38.55539316,45.10181076,0,37.04755991,0,,,,,,,,,,,,,,,,,,,,
28,9,64,9,26,73,90,57,0,10,84,37,16,36,72,65,2,35,19,40,,,,,,,,,,,,,,,,,,,,
